CourseCode,CourseName,Credit,Link,Note
EECS 445,Introduction to Machine Learning,[],https://atlas.ai.umich.edu/course/EECS%20445/,"Prerequisite: [(EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101)); (C or better, No OP/F)]. Enrollment in one minor elective allowed for Computer Science Minors."
EECS 448,Applied Machine Learning for Modeling Human Behavior,[],https://atlas.ai.umich.edu/course/EECS%20448/,"Enforced Prerequisite: EECS 281 and (MATH 214 or 217 or 296 or 417 or 419, or ROB 101); (C or better; No OP/F) or Graduate Standing in CSE"
EECS 449,Conversational Artificial Intelligence,['4'],https://atlas.ai.umich.edu/course/EECS%20449/,"Prerequisite: EECS 281; (C or better, No OP/F). Advisory Prerequisite: EECS 485 or EECS 493. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)"
EECS 452,Digital Signal Processing Design Laboratory,['4'],https://atlas.ai.umich.edu/course/EECS%20452/,"Prerequisite: EECS 280, and (EECS 351 or EECS 455) or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)"
EECS 453,Principles of Machine Learning,['4'],https://atlas.ai.umich.edu/course/EECS%20453/,"Prerequisite: EECS 280 and (STATS 250 or STATS 280 or STATS 412 or STATS 426 or EECS 301 or IOE 265 or TO 301) and (EECS 351 or MATH 214 or 217 or 296 or 417 or 419 or ROB 101). (C or better, No OP/F). Minimum grade requirement of “C” for enforced prerequisites. (Credit Exclusions: No Credit to a student who has taken EECS 445 or 545 or 553). (4 credits)"
EECS 455,Wireless Communications Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20455/,Prerequisite: EECS 216 and EECS 301 or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)
EECS 456,Internet Foundations,['4'],https://atlas.ai.umich.edu/course/EECS%20456/,Prerequisite: EECS 300 or EECS 270 or graduate standing or permission of instructor. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)
EECS 458 (BIOMEDE 458),Biomedical Instrumentation and Design,['4'],https://atlas.ai.umich.edu/course/EECS%20458/,Prerequisite: EECS 215 or EECS 314 or consent of instructor or graduate standing. (4 credits)
EECS 460,Control Systems Analysis and Design,['4'],https://atlas.ai.umich.edu/course/EECS%20460/,Prerequisite: EECS 216 or graduate standing. (4 credits)
EECS 461,Embedded Control Systems,[],https://atlas.ai.umich.edu/course/EECS%20461/,"Prerequisite: EECS 216 (C or better, No OP/F)"
EECS 463,Power Systems Design and Operation,['4'],https://atlas.ai.umich.edu/course/EECS%20463/,Prerequisite: ((Phys 240 or 260) and EECS 215 and EECS 216) or graduate standing. (4 credits)
